,,Public Works Department,Boston Public School,Boston Water & Sewer Commission,Inspectional Services,Mayor's 24 Hour Hotline,Parks & Recreation Department,Property Management,Transportation - Traffic Division
1,Allston / Brighton,4189,6,0,2425,18,466,581,1392
2,Back Bay,2715,1,0,1045,7,205,444,700
3,Beacon Hill,1998,0,0,784,6,94,70,194
4,Charlestown,2463,6,0,470,3,279,89,282
5,Dorchester,9588,48,1,3856,17,1027,280,1567
6,Downtown / Financial District,4224,8,0,1510,12,135,470,1290
7,East Boston,3824,6,0,1774,6,318,238,611
8,Fenway / Kenmore / Audubon Circle / Longwood,1200,1,0,458,4,132,282,378
9,Hyde Park,3722,17,0,960,2,283,19,463
10,Jamaica Plain,3952,13,1,1431,8,312,359,770
11,Mattapan,2956,12,0,1439,6,327,34,631
12,Mission Hill,1008,5,0,488,2,63,181,249
13,Roslindale,2766,14,0,735,5,262,85,530
14,Roxbury,5310,41,1,2292,16,413,242,984
15,South Boston / South Boston Waterfront,4448,16,1,1753,15,482,175,813
16,South End,2610,2,0,1036,10,271,290,319
17,West Roxbury,3789,11,0,577,6,609,13,353
