,name,Enforcement_Abandoned_Vehicles,Signal_ Signals
1,Allston / Brighton,136.2,69.1
2,Back Bay,5.463333333,40.35
3,Beacon Hill,5.53,61.76666667
4,Charlestown,32.73333333,70.76666667
5,Dorchester,125.2833333,109.6166667
6,Downtown / Financial District,4.801666667,42.7
7,East Boston,28.9,91.1
8,Fenway / Kenmore / Audubon Circle / Longwood,4.693333333,44.76666667
9,Hyde Park,180,71.96666667
10,Jamaica Plain,160,65.43333333
11,Mattapan,263.3333333,63.08333333
12,Mission Hill,16.03333333,70.96666667
13,Roslindale,73.26666667,45.73333333
14,Roxbury,162.7666667,45.05
15,South Boston / South Boston Waterfront,5.851666667,55.51666667
16,South End,5.095,95.65
17,West Roxbury,73.05,74.13333333
