,Enforcement & Abandoned Vehicles,Signs & Signals
Allston / Brighton,1.26547144,0.57416508
Back Bay,6.572112941,0.631654247
Beacon Hill,3.98442872,0.816299904
Charlestown,1.248928776,0.597932364
Dorchester,1.029986304,0.49860287
Downtown / Financial District,4.194712248,0.556984217
East Boston,1.456431079,0.848375544
Fenway / Kenmore / Audubon Circle / Longwood,4.44707803,0.708577368
Hyde Park,1.0173198,0.976716925
Jamaica Plain,0.911427972,0.58952243
Mattapan,0.690880185,0.460974888
Mission Hill,2.959534403,0.482249604
Roslindale,1.016642239,0.53356572
Roxbury,0.967954539,0.461358881
South Boston / South Boston Waterfront,4.269121158,0.737541088
South End,3.929696588,0.81632076
West Roxbury,1.167535293,0.556998346
