,neighborhood,time_consume,consistency,efficacy,ontime_rate,request_N,population,area,density,age,income,white,black.african,asian,hispanic.latino,other.race,age.over.18,male,female
1,Allston / Brighton,1.003101852,26.62319385,0.677578253,0.849730087,9077,75009,11526352,0.00650761,26.4,47814,0.713301071,0.051033876,0.154781426,0.099201429,0.080883627,0.927608687,0.495140583,0.504859417
2,Back Bay / Bay Village,0.74962963,23.18262944,0.755573123,0.81317178,5117,20531,1649771,0.012444757,35.35,96639,0.820612732,0.039696069,0.104183917,0.053772344,0.035507282,0.941503093,0.4960791,0.5039209
3,Beacon Hill / West End,0.408648148,18.5417297,1.108826755,0.835028608,3146,11046,987852,0.011181837,32.45,88812,0.869183415,0.021817853,0.081749049,0.043635705,0.027249683,0.928209307,0.456273764,0.543726236
4,Charlestown,0.592305556,26.46746005,0.883043756,0.824053452,3592,16439,3492181,0.004707373,34.6,85952,0.800778636,0.057728572,0.081452643,0.096782043,0.060040148,0.836668897,0.461646086,0.538353914
5,Dorchester,0.524231481,23.18173075,0.989435533,0.859130859,16384,114249,18861928,0.006057122,32.6,46982,0.265043895,0.463058758,0.093471278,0.169865819,0.178426069,0.747656435,0.471548985,0.528451015
6,Downtown / Leather District / North End,0.643412037,21.75026979,0.710741789,0.800104589,7649,28000,2870556,0.009754208,31,71817,0.721714286,0.049821429,0.196928571,0.051428571,0.031535714,0.939642857,0.506107143,0.493892857
7,East Boston,0.410513889,24.35319687,1.115879095,0.84845802,6777,40517,13813309,0.002933186,32.3,50513,0.647925562,0.044721969,0.035762766,0.52869166,0.271589703,0.777229311,0.526174198,0.473825802
8,Fenway / Longwood Medical Area,0.780583333,23.65590254,1.015855663,0.845213849,2455,38826,3017148,0.012868444,32.3,31827,0.703291609,0.056611549,0.177587184,0.082676557,0.062509658,0.978931644,0.45588008,0.54411992
9,Hyde Park,0.289055556,23.38862825,1.56758793,0.897182583,5466,32317,12899518,0.002505287,38.4,62069,0.350249095,0.496487917,0.016802302,0.201349135,0.136460686,0.765139091,0.471299935,0.528700065
10,Jamaica Plain,0.477868056,22.72874003,1.185567588,0.859626059,6846,35459,7975978,0.004445724,34.7,81624,0.633351194,0.149524803,0.047970896,0.257677881,0.169153106,0.827067881,0.458501368,0.541498632
11,Mattapan,0.399912037,25.92967438,1.186311656,0.852358927,5405,22500,7071616,0.003181734,36.4,41229,0.0864,0.798444444,0.017377778,0.120977778,0.097777778,0.754444444,0.456044444,0.543955556
12,Mission Hill,0.654981481,23.84032099,0.864757273,0.869739479,1996,16874,1675732,0.010069629,24.4,33232,0.545158232,0.181107029,0.150171862,0.190589072,0.123562878,0.882837501,0.496977599,0.503022401
13,Roslindale,0.291268519,20.15440729,1.55567791,0.883102115,4397,26368,5414737,0.004869673,37.6,64774,0.601790049,0.225728155,0.025902609,0.233464806,0.146579187,0.785270024,0.460292779,0.539707221
14,Roxbury,0.412884259,26.29123873,1.230671872,0.849876331,9299,49111,9084925,0.005405768,30,28628,0.184276435,0.575614424,0.021033984,0.288631875,0.219075156,0.753822972,0.46881554,0.53118446
15,South Boston / South Boston Waterfront,0.757402778,27.69528221,0.685786148,0.822147215,7703,33674,7841292,0.004294445,32.8,68721,0.824523371,0.059155431,0.048910138,0.099334798,0.067411059,0.865920295,0.475351904,0.524648096
16,South End,0.714266204,28.71415003,0.687938206,0.833186426,4538,25703,1988461,0.012926077,36.3,57984,0.566626464,0.165661596,0.163132708,0.15009921,0.104579232,0.867097226,0.515776369,0.484223631
17,West Roxbury,0.260041667,27.17011081,1.742489986,0.897723031,5358,30445,13300484,0.002289014,42.2,80175,0.771916571,0.10638857,0.064838233,0.084513056,0.056856627,0.792215471,0.458203317,0.541796683
