,Public Works Department,Boston Public School,Boston Water & Sewer Commission,Inspectional Services,Mayor's 24 Hour Hotline,Parks & Recreation Department,Property Management,Transportation - Traffic Division,population,area,density,age,income,white,black.african,asian,hispanic.latino,age.over.18,male,female
Allston / Brighton,2707,6,0,2418,18,256,581,1247,75009,4.45,16855.95506,26.4,47814,0.713301071,0.051033876,0.154781426,0.099201429,0.927608687,0.495140583,0.504859417
Back Bay,2176,1,0,1045,7,107,444,651,20531,0.637,32230.76923,35.35,96639,0.820612732,0.039696069,0.104183917,0.053772344,0.941503093,0.4960791,0.5039209
Beacon Hill,1717,0,0,784,6,60,70,175,11046,0.382,28916.23037,32.45,88812,0.869183415,0.021817853,0.081749049,0.043635705,0.928209307,0.456273764,0.543726236
Charlestown,1749,6,0,469,2,174,89,252,16439,1.348,12195.10386,34.6,85952,0.800778636,0.057728572,0.081452643,0.096782043,0.836668897,0.461646086,0.538353914
Dorchester,5899,48,0,3850,17,438,280,1269,114249,7.282,15689.23373,32.6,46982,0.265043895,0.463058758,0.093471278,0.169865819,0.747656435,0.471548985,0.528451015
Downtown / Financial District,3048,8,0,1510,12,59,470,1132,28000,1.108,25270.75812,31,71817,0.721714286,0.049821429,0.196928571,0.051428571,0.939642857,0.506107143,0.493892857
East Boston,2036,6,0,1774,6,208,238,491,40517,5.332,7598.837209,32.3,50513,0.647925562,0.044721969,0.035762766,0.52869166,0.777229311,0.526174198,0.473825802
Fenway / Kenmore / Audubon Circle / Longwood,890,1,0,458,4,39,282,353,38826,1.165,33327.03863,32.3,31827,0.703291609,0.056611549,0.177587184,0.082676557,0.978931644,0.45588008,0.54411992
Hyde Park,1817,17,0,958,2,147,19,340,32317,4.979,6490.660775,38.4,62069,0.350249095,0.496487917,0.016802302,0.201349135,0.765139091,0.471299935,0.528700065
Jamaica Plain,2808,13,1,1431,8,184,359,695,35459,3.081,11508.92567,34.7,81624,0.633351194,0.149524803,0.047970896,0.257677881,0.827067881,0.458501368,0.541498632
Mattapan,1767,12,0,1439,6,143,34,516,22500,2.731,8238.740388,36.4,41229,0.0864,0.798444444,0.017377778,0.120977778,0.754444444,0.456044444,0.543955556
Mission Hill,710,5,0,488,2,16,181,201,16874,0.647,26080.37094,24.4,33232,0.545158232,0.181107029,0.150171862,0.190589072,0.882837501,0.496977599,0.503022401
Roslindale,1604,14,0,733,5,155,84,486,26368,2.09,12616.26794,37.6,64774,0.601790049,0.225728155,0.025902609,0.233464806,0.785270024,0.460292779,0.539707221
Roxbury,3941,41,1,2288,16,178,242,931,49111,3.507,14003.70687,30,28628,0.184276435,0.575614424,0.021033984,0.288631875,0.753822972,0.46881554,0.53118446
South Boston / South Boston Waterfront,3238,16,1,1751,15,217,175,741,33674,3.029,11117.2004,32.8,68721,0.824523371,0.059155431,0.048910138,0.099334798,0.865920295,0.475351904,0.524648096
South End,2023,2,0,1036,10,147,290,284,25703,0.767,33511.08214,36.3,57984,0.566626464,0.165661596,0.163132708,0.15009921,0.867097226,0.515776369,0.484223631
West Roxbury,2229,11,0,574,6,357,13,270,30445,5.135,5928.919182,42.2,80175,0.771916571,0.10638857,0.064838233,0.084513056,0.792215471,0.458203317,0.541796683
